,session,participant,time,depth_frame_id,depth_frame_time,color_frame_id,color_frame_time
15018,1,3,17233.691420016294,17492.0,1602189704831.85,9015.0,1602189704831.5618
15019,1,3,17233.724088560666,17493.0,1602189704865.2087,9015.0,1602189704831.5618
15020,1,3,17233.758118606886,17494.0,1602189704898.2957,9016.0,1602189704898.45
15021,1,3,17233.79060265101,17495.0,1602189704931.3987,9016.0,1602189704898.45
15022,1,3,17233.82544889834,17496.0,1602189704964.8972,9017.0,1602189704965.2483
15023,1,3,17233.858100942693,17497.0,1602189704998.1692,9017.0,1602189704965.2483
15024,1,3,17233.891369687877,17498.0,1602189705031.973,9018.0,1602189705032.1755
15025,1,3,17233.924703433157,17499.0,1602189705065.2505,9018.0,1602189705032.1755
15026,1,3,17233.957986178364,17500.0,1602189705098.568,9019.0,1602189705099.1829
15027,1,3,17233.991198523476,17501.0,1602189705131.598,9019.0,1602189705099.1829
15028,1,3,17234.025295169788,17502.0,1602189705165.401,9020.0,1602189705166.0486
15029,1,3,17234.05814821441,17503.0,1602189705198.5923,9020.0,1602189705166.0486
15030,1,3,17234.092562761158,17504.0,1602189705231.561,9021.0,1602189705232.8467
15031,1,3,17234.12414700406,17505.0,1602189705264.7869,9021.0,1602189705232.8467
15032,1,3,17234.15955175215,17506.0,1602189705298.2014,9022.0,1602189705299.724
15033,1,3,17234.19211679638,17507.0,1602189705331.9995,9022.0,1602189705299.724
15034,1,3,17234.226295342803,17508.0,1602189705365.3335,9023.0,1602189705366.739
15035,1,3,17234.25883968701,17509.0,1602189705398.6372,9023.0,1602189705366.739
15036,1,3,17234.294225935075,17510.0,1602189705432.1235,9024.0,1602189705433.6992
15037,1,3,17234.324058475595,17511.0,1602189705465.4531,9024.0,1602189705433.6992
15038,1,3,17234.36075512544,17512.0,1602189705498.6409,9025.0,1602189705500.6116
15039,1,3,17234.390997766517,17513.0,1602189705532.0283,9025.0,1602189705500.6116
15040,1,3,17234.428483617434,17514.0,1602189705565.3564,9026.0,1602189705567.668
15041,1,3,17234.457985957506,17515.0,1602189705598.3015,9026.0,1602189705567.668
15042,1,3,17234.494336406882,17516.0,1602189705632.11,9027.0,1602189705634.5632
15043,1,3,17234.525561849296,17517.0,1602189705665.053,9027.0,1602189705634.5632
15044,1,3,17234.561219597726,17518.0,1602189705698.317,9028.0,1602189705701.739
15045,1,3,17234.590874138004,17519.0,1602189705732.1191,9028.0,1602189705701.739
15046,1,3,17234.627388187604,17520.0,1602189705765.0022,9029.0,1602189705768.576
15047,1,3,17234.658506429867,17521.0,1602189705798.2437,9029.0,1602189705768.576
15048,1,3,17234.69549278011,17522.0,1602189705831.627,9030.0,1602189705835.5415
15049,1,3,17234.724657419723,17523.0,1602189705865.5002,9030.0,1602189705835.5415
15050,1,3,17234.76229957085,17524.0,1602189705898.6804,9031.0,1602189705902.4404
15051,1,3,17234.791567710607,17525.0,1602189705931.7063,9031.0,1602189705902.4404
15052,1,3,17234.82903026149,17526.0,1602189705965.5444,9032.0,1602189705969.547
15053,1,3,17234.857639100348,17527.0,1602189705998.7732,9032.0,1602189705969.547
15054,1,3,17234.89594395238,17528.0,1602189706031.7568,9033.0,1602189706036.4446
15055,1,3,17234.92433329094,17529.0,1602189706065.5264,9033.0,1602189706036.4446
15056,1,3,17234.962716543076,17530.0,1602189706098.379,9034.0,1602189706103.3655
