,session,participant,time,device_ts,system_ts,left_x,left_y,left_pupil,right_x,right_y,right_pupil
364,3,2,82762.67724570207,83516020000.0,74327835000.0,,,,,,
365,3,2,82762.69391779132,83516040000.0,74327850000.0,,,,,,
366,3,2,82762.71058988055,83516056000.0,74327870000.0,,,,,,
367,3,2,82762.72726196978,83516070000.0,74327880000.0,,,,,,
368,3,2,82762.743934059,83516090000.0,74327900000.0,,,,,,
369,3,2,82762.76060614824,83516105000.0,74327920000.0,,,,,,
370,3,2,82762.77727823748,83516120000.0,74327940000.0,,,,,,
371,3,2,82762.79395032671,83516146000.0,74327960000.0,,,,,,
372,3,2,82762.81062241594,83516160000.0,74327970000.0,,,,,,
373,3,2,82762.82729450517,83516180000.0,74327990000.0,,,,,,
374,3,2,82762.8439665944,83516195000.0,74328010000.0,,,,,,
375,3,2,82762.86063868365,83516210000.0,74328020000.0,,,,,,
376,3,2,82762.87731077288,83516230000.0,74328040000.0,,,,,,
377,3,2,82762.89398286211,83516240000.0,74328056000.0,,,,,,
378,3,2,82762.91065495134,83516260000.0,74328070000.0,,,,,,
379,3,2,82762.92732704057,83516280000.0,74328090000.0,,,,,,
380,3,2,82762.94399912981,83516290000.0,74328105000.0,,,,,,
381,3,2,82762.96067121904,83516310000.0,74328120000.0,,,,,,
382,3,2,82762.97734330827,83516326000.0,74328140000.0,,,,,,
383,3,2,82762.9940153975,83516340000.0,74328154000.0,,,,,,
384,3,2,82763.01068748673,83516360000.0,74328170000.0,,,,,,
385,3,2,82763.02735957598,83516375000.0,74328190000.0,,,,,,
386,3,2,82763.04403166521,83516390000.0,74328200000.0,,,,,,
387,3,2,82763.06070375444,83516410000.0,74328220000.0,,,,,,
388,3,2,82763.07737584367,83516424000.0,74328240000.0,,,,,,
389,3,2,82763.0940479329,83516440000.0,74328250000.0,,,,,,
390,3,2,82763.11072002214,83516460000.0,74328270000.0,,,,,,
391,3,2,82763.12739211138,83516470000.0,74328285000.0,,,,,,
392,3,2,82763.1440642006,83516490000.0,74328300000.0,,,,,,
393,3,2,82763.16073628984,83516510000.0,74328320000.0,,,,,,
394,3,2,82763.17740837907,83516520000.0,74328334000.0,,,,,,
395,3,2,82763.19408046831,83516540000.0,74328350000.0,,,,,,
396,3,2,82763.21075255754,83516555000.0,74328370000.0,,,,,,
397,3,2,82763.22742464677,83516570000.0,74328380000.0,,,,,,
398,3,2,82763.244096736,83516590000.0,74328400000.0,,,,,,
399,3,2,82763.26076882523,83516604000.0,74328420000.0,,,,,,
400,3,2,82763.27744091448,83516620000.0,74328440000.0,,,,,,
401,3,2,82763.2941130037,83516645000.0,74328460000.0,,,,,,
402,3,2,82763.31078509294,83516660000.0,74328470000.0,,,,,,
403,3,2,82763.32745718217,83516680000.0,74328490000.0,,,,,,
404,3,2,82763.3441292714,83516695000.0,74328510000.0,,,,,,
