,session,participant,time,frame_time,frame_num,frame_dtime,screen_resolution_width,screen_resolution_height
29935,2,2,22936.28901961305,1602195412.601,0.0,0.03333333134651184,1920,1080
29936,2,2,22936.322353349417,1602195412.634,0.0,0.03333333134651184,1920,1080
29937,2,2,22936.355687085783,1602195412.667,0.0,0.03333333134651184,1920,1080
29938,2,2,22936.38902082215,1602195412.701,0.0,0.03333333134651184,1920,1080
29939,2,2,22936.422354558516,1602195412.734,0.0,0.03333333134651184,1920,1080
29940,2,2,22936.455688294882,1602195412.767,0.0,0.03333333134651184,1920,1080
29941,2,2,22936.489022031248,1602195412.801,0.0,0.03333333134651184,1920,1080
29942,2,2,22936.522355767614,1602195412.834,0.0,0.03333333134651184,1920,1080
29943,2,2,22936.55568950398,1602195412.867,0.0,0.03333333134651184,1920,1080
29944,2,2,22936.589023240347,1602195412.901,0.0,0.03333333134651184,1920,1080
29945,2,2,22936.622356976713,1602195412.934,0.0,0.03333333134651184,1920,1080
29946,2,2,22936.65569071308,1602195412.967,0.0,0.03333333134651184,1920,1080
29947,2,2,22936.689024449443,1602195413.001,0.0,0.03333333134651184,1920,1080
29948,2,2,22936.72235818581,1602195413.034,0.0,0.03333333134651184,1920,1080
29949,2,2,22936.755691922175,1602195413.067,0.0,0.03333333134651184,1920,1080
29950,2,2,22936.78902565854,1602195413.101,0.0,0.03333333134651184,1920,1080
29951,2,2,22936.822359394908,1602195413.134,0.0,0.03333333134651184,1920,1080
29952,2,2,22936.855693131274,1602195413.167,0.0,0.03333333134651184,1920,1080
29953,2,2,22936.88902686764,1602195413.201,0.0,0.03333333134651184,1920,1080
29954,2,2,22936.922360604007,1602195413.234,0.0,0.03333333134651184,1920,1080
29955,2,2,22936.955694340373,1602195413.267,0.0,0.03333333134651184,1920,1080
29956,2,2,22936.98902807674,1602195413.301,0.0,0.03333333134651184,1920,1080
29957,2,2,22937.022361813106,1602195413.334,0.0,0.03333333134651184,1920,1080
29958,2,2,22937.05569554947,1602195413.367,0.0,0.03333333134651184,1920,1080
29959,2,2,22937.089029285835,1602195413.401,0.0,0.03333333134651184,1920,1080
29960,2,2,22937.1223630222,1602195413.434,0.0,0.03333333134651184,1920,1080
29961,2,2,22937.155696758568,1602195413.467,0.0,0.03333333134651184,1920,1080
29962,2,2,22937.189030494934,1602195413.501,0.0,0.03333333134651184,1920,1080
29963,2,2,22937.2223642313,1602195413.534,0.0,0.03333333134651184,1920,1080
29964,2,2,22937.255697967666,1602195413.567,0.0,0.03333333134651184,1920,1080
29965,2,2,22937.289031704033,1602195413.601,0.0,0.03333333134651184,1920,1080
29966,2,2,22937.3223654404,1602195413.634,0.0,0.03333333134651184,1920,1080
