,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
540,21956.44383913349,,,,,
541,21956.477172869858,,,,,
542,21956.510506606224,,,,,
543,21956.54384034259,,,,,
544,21956.577174078957,,,,,
545,21956.610507815323,,,,,
546,21956.643841551686,,,,,
547,21956.677175288052,,,,,
548,21956.71050902442,,,,,
549,21956.743842760785,,,,,
550,21956.77717649715,,,,,
551,21956.810510233518,,,,,
552,21956.843843969884,,,,,
553,21956.87717770625,,,,,
554,21956.910511442617,,,,,
555,21956.943845178983,,,,,
556,21956.97717891535,,,,,
557,21957.010512651716,,,,,
558,21957.04384638808,,,,,
559,21957.077180124445,,,,,
560,21957.11051386081,,,,,
561,21957.143847597177,,,,,
562,21957.177181333544,,,,,
563,21957.21051506991,,,,,
564,21957.243848806276,,,,,
565,21957.277182542643,,,,,
566,21957.31051627901,,,,,
567,21957.343850015375,,,,,
568,21957.37718375174,,,,,
569,21957.410517488108,,,,,
570,21957.443851224474,,,,,
571,21957.477184960837,,,,,
572,21957.510518697203,,,,,
573,21957.54385243357,,,,,
574,21957.577186169936,,,,,
575,21957.610519906302,,,,,
576,21957.64385364267,,,,,
577,21957.677187379035,,,,,
578,21957.7105211154,,,,,
579,21957.743854851768,,,,,
580,21957.777188588134,,,,,
581,21957.8105223245,,,,,
582,21957.843856060867,,,,,
583,21957.87718979723,,,,,
584,21957.910523533596,,,,,
585,21957.943857269962,,,,,
586,21957.97719100633,,,,,
587,21958.010524742695,,,,,
588,21958.04385847906,,,,,
589,21958.077192215427,,,,,
590,21958.110525951794,,,,,
591,21958.14385968816,,,,,
592,21958.177193424526,,,,,
593,21958.210527160893,,,,,
594,21958.24386089726,,,,,
595,21958.27719463362,,,,,
596,21958.310528369988,,,,,
597,21958.343862106354,,,,,
598,21958.37719584272,,,,,
599,21958.410529579087,,,,,
600,21958.443863315453,,,,,
601,21958.47719705182,,,,,
602,21958.510530788186,,,,,
603,21958.543864524552,,,,,
604,21958.57719826092,,,,,
605,21958.610531997285,,,,,
606,21958.64386573365,,,,,
607,21958.677199470014,,,,,
608,21958.71053320638,,,,,
609,21958.743866942747,,,,,
610,21958.777200679113,,,,,
611,21958.81053441548,,,,,
612,21958.843868151846,,,,,
613,21958.877201888212,,,,,
614,21958.91053562458,,,,,
615,21958.943869360945,,,,,
616,21958.97720309731,,,,,
617,21959.010536833677,,,,,
